A,B,C,D
a107,b229,c384,d155
a372,b114,c157,d186
a50,b100,c371,d197
a272,b247,c288,d79
a424,b150,c223,d145
a392,b4,c365,d236
a261,b164,c400,d166
a392,b179,c94,d87
a326,b246,c479,d301
a354,b13,c76,d177
a25,b272,c306,d328
a44,b168,c24,d94
a158,b218,c23,d331
a133,b345,c64,d68
a146,b336,c269,d100
a150,b76,c450,d272
a160,b95,c476,d152
a334,b178,c369,d306
a8,b186,c446,d421
a167,b197,c57,d199
a403,b295,c21,d135
a414,b211,c452,d404
a4,b323,c347,d314
a86,b224,c493,d284
a224,b278,c474,d26
a290,b21,c66,d157
a411,b127,c267,d198
a201,b192,c490,d143
a368,b33,c37,d193
a363,b186,c405,d426
a405,b327,c396,d214
a391,b187,c159,d75
a86,b118,c204,d435
a369,b318,c475,d236
a208,b244,c317,d229
a400,b70,c327,d384
a395,b291,c297,d77
a65,b343,c423,d368
a38,b318,c160,d212
a264,b39,c409,d50
a420,b16,c119,d137
a169,b118,c473,d228
a20,b84,c418,d352
a367,b230,c93,d8
a152,b213,c369,d392
a397,b161,c315,d287
a299,b331,c261,d127
a401,b28,c361,d57
a193,b73,c264,d34
a317,b108,c420,d413
a127,b73,c190,d338
a147,b228,c302,d14
a342,b25,c334,d86
a77,b345,c57,d427
a19,b45,c10,d84
a127,b308,c195,d88
a62,b265,c359,d68
a33,b307,c476,d278
a196,b152,c360,d166
a257,b293,c281,d13
a48,b38,c266,d167
a364,b132,c120,d74
a145,b66,c9,d196
a315,b93,c300,d184
a237,b73,c36,d317
a316,b191,c469,d190
a16,b37,c93,d179
a347,b142,c66,d215
a217,b179,c112,d446
a83,b127,c220,d320
a37,b141,c96,d122
a360,b97,c231,d185
a113,b226,c172,d10
a193,b233,c338,d216
a291,b17,c149,d331
a33,b272,c329,d427
a366,b269,c357,d73
a199,b166,c14,d240
a341,b3,c135,d431
a87,b303,c181,d284
a57,b329,c251,d113
a119,b207,c168,d450
a105,b104,c298,d274
a14,b41,c414,d448
a45,b113,c461,d5
a303,b135,c97,d106
a240,b158,c478,d25
a43,b339,c433,d351
a209,b97,c393,d335
a317,b37,c261,d45
a168,b44,c344,d102
a67,b179,c50,d117
a104,b28,c272,d262
a65,b334,c449,d215
a53,b155,c483,d191
a215,b49,c347,d393
a424,b239,c58,d83
a244,b264,c485,d281
a359,b295,c58,d57
a181,b298,c201,d294
