A,B,C,D
a1,b1,c2,d3
a1,b4,c5,d1
a3,b4,c4,d3
a1,b4,c4,d1
a4,b1,c2,d4
a6,b2,c1,d3
a1,b1,c1,d2
a1,b4,c5,d1
a1,b1,c1,d1
a3,b1,c5,d3
a6,b5,c1,d1
a5,b2,c2,d4
a5,b3,c3,d4
a4,b4,c3,d2
a4,b5,c2,d3
a2,b5,c1,d3
a6,b4,c4,d4
a2,b5,c4,d3
a3,b4,c1,d1
a2,b5,c3,d1
a6,b5,c2,d2
a2,b2,c2,d3
a3,b3,c1,d4
a2,b3,c2,d1
a4,b5,c3,d2
a3,b2,c1,d2
a2,b1,c2,d1
a3,b2,c4,d2
a1,b4,c2,d4
a6,b4,c4,d3
a2,b4,c2,d1
a3,b3,c1,d4
a1,b5,c2,d2
a5,b1,c5,d2
a2,b1,c5,d4
a3,b5,c3,d2
a4,b1,c1,d2
a1,b1,c4,d3
a5,b3,c2,d3
a1,b4,c2,d3
a3,b5,c4,d4
a5,b3,c1,d4
a3,b4,c5,d4
a6,b5,c4,d1
a6,b3,c1,d2
a4,b5,c4,d3
a6,b3,c2,d2
a2,b5,c3,d1
a4,b1,c1,d3
a4,b5,c5,d2
a5,b2,c4,d2
a5,b2,c2,d3
a3,b1,c3,d2
a4,b3,c4,d3
a2,b1,c3,d1
a3,b4,c4,d3
a6,b5,c1,d2
a2,b4,c5,d3
a4,b2,c2,d1
a1,b1,c3,d4
a6,b2,c1,d3
a5,b4,c2,d2
a5,b2,c4,d1
a3,b4,c5,d4
a4,b4,c4,d4
a3,b1,c4,d2
a6,b5,c4,d2
a5,b4,c3,d3
a3,b4,c2,d2
a5,b1,c3,d2
a3,b3,c1,d3
a3,b4,c2,d4
a5,b5,c5,d2
a3,b5,c1,d2
a3,b4,c2,d1
a5,b5,c1,d3
a1,b2,c1,d2
a6,b1,c4,d3
a5,b2,c4,d1
a6,b4,c1,d3
a1,b4,c4,d3
a2,b1,c3,d1
a6,b3,c2,d4
a4,b3,c1,d2
a2,b3,c2,d2
a4,b2,c5,d3
a6,b3,c3,d4
a5,b3,c4,d3
a5,b2,c2,d4
a1,b2,c4,d2
a3,b2,c3,d4
a1,b1,c1,d1
a4,b4,c2,d1
a3,b4,c1,d1
a2,b4,c5,d4
a5,b5,c3,d4
a3,b1,c5,d1
a4,b5,c4,d4
a6,b4,c5,d3
a3,b1,c1,d4
